s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.7495217E-004,-2.0645149E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7495423E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0104618E+000, 2.9821413E+002,-9.5447063E+001, 3.2913475E+000,-2.9909383E+000,-2.0492556E-002, 0.0000000E+000, 0.0000000E+000, 1.7810302E+002, 2.0304699E+002, 0.0000000E+000, 7.5312486E-003, 0.0000000E+000
 2.0022540E+000, 6.6133868E+002,-1.6953709E+002, 7.7562846E+000,-7.7728312E+000,-4.1147655E-002, 0.0000000E+000, 0.0000000E+000, 4.8934192E+002, 4.9174389E+002, 0.0000000E+000, 1.4478623E-002, 0.0000000E+000
 3.0046794E+000, 7.2066891E+002,-1.8237735E+002, 5.7656045E+000,-1.7051653E+001,-4.5947445E-002, 0.0000000E+000, 0.0000000E+000, 5.2719380E+002, 5.2695956E+002, 0.0000000E+000, 1.5937427E-002, 0.0000000E+000
 4.0050063E+000, 7.7208353E+002,-1.9386868E+002,-5.8935530E+000,-4.5667401E+001,-4.7424266E-002, 0.0000000E+000, 0.0000000E+000, 5.2797080E+002, 5.2660647E+002, 0.0000000E+000, 1.6152586E-002, 0.0000000E+000
 5.0059996E+000, 7.4350759E+002,-1.9033368E+002,-4.7781106E+001,-5.2534169E+001,-4.7506295E-002, 0.0000000E+000, 0.0000000E+000, 4.5331402E+002, 4.5281113E+002, 0.0000000E+000, 1.6181999E-002, 0.0000000E+000
 6.0075636E+000, 7.2760944E+002,-1.8570949E+002,-8.1918210E+001,-5.4775573E+001,-4.7044187E-002, 0.0000000E+000, 0.0000000E+000, 4.0573509E+002, 4.0515913E+002, 0.0000000E+000, 1.6185978E-002, 0.0000000E+000
 7.0047145E+000, 7.5928449E+002,-1.9474960E+002,-1.3599507E+002,-5.5796517E+001,-4.7210178E-002, 0.0000000E+000, 0.0000000E+000, 3.7309364E+002, 3.7269610E+002, 0.0000000E+000, 1.6186515E-002, 0.0000000E+000
 8.0063009E+000, 7.3145328E+002,-1.9230616E+002,-1.4752206E+002,-6.7947555E+001,-4.7156844E-002, 0.0000000E+000, 0.0000000E+000, 3.2536184E+002, 3.2363035E+002, 0.0000000E+000, 1.6186588E-002, 0.0000000E+000
 9.0036516E+000, 7.6661845E+002,-2.0251079E+002,-1.9590882E+002,-6.8733873E+001,-4.7282361E-002, 0.0000000E+000, 0.0000000E+000, 3.0124714E+002, 2.9941768E+002, 0.0000000E+000, 1.6186598E-002, 0.0000000E+000
 1.0004495E+001, 7.4099064E+002,-1.9975078E+002,-2.2399710E+002,-7.2207707E+001,-4.7219038E-002, 0.0000000E+000, 0.0000000E+000, 2.4726206E+002, 2.4498784E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.1006121E+001, 7.6315702E+002,-2.0966158E+002,-2.6489278E+002,-6.9572871E+001,-4.7455480E-002, 0.0000000E+000, 0.0000000E+000, 2.2127853E+002, 2.1898233E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.2008956E+001, 7.4722691E+002,-2.1182875E+002,-2.8319853E+002,-7.1801075E+001,-4.7525125E-002, 0.0000000E+000, 0.0000000E+000, 1.8266073E+002, 1.8035103E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.3005615E+001, 7.5711667E+002,-2.1721697E+002,-3.1938432E+002,-7.6405167E+001,-4.7549256E-002, 0.0000000E+000, 0.0000000E+000, 1.4694046E+002, 1.4406266E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.4006711E+001, 7.3380485E+002,-2.2196850E+002,-3.1112606E+002,-8.0633445E+001,-4.7162343E-002, 0.0000000E+000, 0.0000000E+000, 1.2356562E+002, 1.2002968E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.5002379E+001, 7.6397103E+002,-2.3103421E+002,-3.3855759E+002,-8.0427039E+001,-4.7499446E-002, 0.0000000E+000, 0.0000000E+000, 1.1640182E+002, 1.1390469E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.6006622E+001, 7.5691277E+002,-2.3233172E+002,-3.4137768E+002,-8.1219326E+001,-4.7637275E-002, 0.0000000E+000, 0.0000000E+000, 1.0428484E+002, 1.0193641E+002, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.7004646E+001, 7.4772931E+002,-2.3776036E+002,-3.5038975E+002,-8.2834092E+001,-4.7556339E-002, 0.0000000E+000, 0.0000000E+000, 7.9837280E+001, 7.6697557E+001, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.8006666E+001, 7.3921219E+002,-2.3740774E+002,-3.3936504E+002,-8.5341250E+001,-4.7544903E-002, 0.0000000E+000, 0.0000000E+000, 8.2252382E+001, 7.7050614E+001, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 1.9012255E+001, 7.5761071E+002,-2.4374929E+002,-3.4566444E+002,-8.4411836E+001,-4.7611769E-002, 0.0000000E+000, 0.0000000E+000, 8.7707033E+001, 8.3737529E+001, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 2.0002142E+001, 7.5832973E+002,-2.5065390E+002,-3.7276055E+002,-8.6798110E+001,-4.7751880E-002, 0.0000000E+000, 0.0000000E+000, 5.0999886E+001, 4.8069421E+001, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 2.1003847E+001, 7.4278974E+002,-2.5051630E+002,-3.9974248E+002,-8.9006868E+001,-4.7632604E-002, 0.0000000E+000, 0.0000000E+000, 6.2880028E+000, 3.4764529E+000, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
 2.2007530E+001, 7.4911407E+002,-2.5541375E+002,-3.7295817E+002,-8.9306830E+001,-4.7449128E-002, 0.0000000E+000, 0.0000000E+000, 3.5050467E+001, 3.1387866E+001, 0.0000000E+000, 1.6186599E-002, 0.0000000E+000
